order_id,customer_id,amount,currency,status,created_at,updated_at
100000,C0057,114.43,USD,completed,2026-08-29T04:57:32+0000,2026-08-29T07:17:32+0000
100001,C0065,88.0,USD,completed,2026-08-29T04:43:32+0000,2026-08-29T07:26:32+0000
100002,C0025,97.58,USD,completed,2026-08-29T04:25:32+0000,2026-08-29T07:24:32+0000
100003,C0031,31.65,USD,refunded,2026-08-29T06:06:32+0000,2026-08-29T07:36:32+0000
100004,C0049,92.47,USD,pending,2026-08-29T06:07:32+0000,2026-08-29T07:30:32+0000
100005,C0032,52.33,USD,refunded,2026-08-29T07:09:32+0000,2026-08-29T07:26:32+0000
100006,C0007,51.71,USD,cancelled,2026-08-29T05:04:32+0000,2026-08-29T07:34:32+0000
100007,C0007,106.3,USD,refunded,2026-08-29T06:42:32+0000,2026-08-29T07:16:32+0000
100008,C0012,45.14,USD,pending,2026-08-29T05:01:32+0000,2026-08-29T07:21:32+0000
100009,C0018,28.39,USD,completed,2026-08-29T04:44:32+0000,2026-08-29T07:33:32+0000
100010,C0063,44.34,USD,cancelled,2026-08-29T04:48:32+0000,2026-08-29T07:15:32+0000
100011,C0070,29.72,USD,pending,2026-08-29T05:10:32+0000,2026-08-29T07:26:32+0000
100012,C0009,20.87,USD,pending,2026-08-29T04:46:32+0000,2026-08-29T07:26:32+0000
100013,C0062,52.98,USD,completed,2026-08-29T05:52:32+0000,2026-08-29T07:25:32+0000
100014,C0029,71.45,USD,refunded,2026-08-29T06:32:32+0000,2026-08-29T07:21:32+0000
100015,C0031,17.48,USD,completed,2026-08-29T04:54:32+0000,2026-08-29T07:17:32+0000
100016,C0040,57.86,USD,cancelled,2026-08-29T06:57:32+0000,2026-08-29T07:25:32+0000
100017,C0022,66.05,USD,pending,2026-08-29T04:42:32+0000,2026-08-29T07:27:32+0000
100018,C0054,63.13,USD,completed,2026-08-29T06:12:32+0000,2026-08-29T07:21:32+0000
100019,C0015,28.54,USD,refunded,2026-08-29T06:49:32+0000,2026-08-29T07:36:32+0000
100020,C0006,48.37,USD,completed,2026-08-29T05:05:32+0000,2026-08-29T07:22:32+0000
100021,C0034,51.81,USD,completed,2026-08-29T06:20:32+0000,2026-08-29T07:22:32+0000
100022,C0032,72.83,USD,completed,2026-08-29T06:53:32+0000,2026-08-29T07:33:32+0000
100023,C0056,28.27,USD,refunded,2026-08-29T04:53:32+0000,2026-08-29T07:19:32+0000
100024,C0069,70.87,USD,completed,2026-08-29T06:17:32+0000,2026-08-29T07:28:32+0000
100025,C0008,99.04,USD,pending,2026-08-29T04:45:32+0000,2026-08-29T07:31:32+0000
100026,C0032,16.31,USD,refunded,2026-08-29T07:11:32+0000,2026-08-29T07:33:32+0000
100027,C0020,64.92,USD,completed,2026-08-29T04:30:32+0000,2026-08-29T07:26:32+0000
100028,C0004,24.79,USD,refunded,2026-08-29T06:37:32+0000,2026-08-29T07:36:32+0000
100029,C0044,52.26,USD,cancelled,2026-08-29T05:21:32+0000,2026-08-29T07:28:32+0000
100030,C0011,39.48,USD,refunded,2026-08-29T05:47:32+0000,2026-08-29T07:36:32+0000
100031,C0037,115.64,USD,cancelled,2026-08-29T06:00:32+0000,2026-08-29T07:36:32+0000
100032,C0023,59.23,USD,refunded,2026-08-29T07:01:32+0000,2026-08-29T07:33:32+0000
100033,C0003,88.89,USD,refunded,2026-08-29T06:46:32+0000,2026-08-29T07:32:32+0000
100034,C0006,32.27,USD,completed,2026-08-29T05:22:32+0000,2026-08-29T07:27:32+0000
100035,C0064,73.94,USD,cancelled,2026-08-29T06:46:32+0000,2026-08-29T07:18:32+0000
100036,C0060,125.5,USD,completed,2026-08-29T06:07:32+0000,2026-08-29T07:32:32+0000
100037,C0043,38.9,USD,completed,2026-08-29T06:36:32+0000,2026-08-29T07:28:32+0000
100038,C0065,82.78,USD,pending,2026-08-29T05:44:32+0000,2026-08-29T07:30:32+0000
100039,C0009,74.8,USD,pending,2026-08-29T06:44:32+0000,2026-08-29T07:19:32+0000
100040,C0051,55.39,USD,cancelled,2026-08-29T05:24:32+0000,2026-08-29T07:16:32+0000
100041,C0050,28.84,USD,completed,2026-08-29T04:44:32+0000,2026-08-29T07:15:32+0000
100042,C0021,67.07,USD,completed,2026-08-29T05:31:32+0000,2026-08-29T07:23:32+0000
100043,C0056,49.47,USD,completed,2026-08-29T06:57:32+0000,2026-08-29T07:33:32+0000
